"","Date","StockClose","StockChange","StockPrctChange","StockVolume","VIX","Event","SPY_Close","SPY_Volume"
"78",2024-07-10,466.25,6.71,0.0146,18196100,12.85,NA,561.32,38701200
"79",2024-07-09,459.54,-6.7,-0.0144,17228500,12.51,NA,555.82,27314125
"80",2024-07-08,466.24,-1.32,-0.0028,12962300,12.37,NA,555.28,36110400
"81",2024-07-05,467.56,6.79,0.0147,16000200,12.48,NA,554.64,41488300
"82",2024-07-03,460.77,1.49,0.0032,9932800,12.09,NA,551.46,32789900
"83",2024-07-02,459.28,2.55,0.0056,13979700,12.03,NA,549.01,40434700
"84",2024-07-01,456.73,9.78,0.0219,17662800,12.22,NA,545.34,40297800
"85",2024-06-28,446.95,-5.9,-0.013,28362200,12.44,NA,544.22,76144500
"86",2024-06-27,452.85,0.69,0.0015,14806300,12.24,NA,546.37,35041400
"87",2024-06-26,452.16,1.21,0.0027,16507000,12.55,NA,545.51,38550600
