Time,Open,High,Low,Last,Change,%Chg,Volume
8/10/2023,448.19,451.7,444.7,445.91,0.16,0.04%,93005500
8/9/2023,449.03,449.1999,444.96,445.75,-3,-0.67%,78789500
8/8/2023,448.08,450.6952,445.2705,448.75,-1.96,-0.43%,71361300
8/7/2023,448.71,450.865,447.99,450.71,3.9,0.87%,58357400
8/4/2023,450.72,452.895,446.27,446.81,-2.03,-0.45%,100128900
8/3/2023,448.04,450.79,447.37,448.84,-1.29,-0.29%,64419600
8/2/2023,453.25,453.52,449.3499,450.13,-6.35,-1.39%,93933300
8/1/2023,456.27,457.25,455.49,456.48,-1.31,-0.29%,55502200
7/31/2023,457.41,458.16,456.045,457.79,0.87,0.19%,62040400
7/28/2023,455.88,457.78,452.4918,456.92,4.43,0.98%,80011700
7/27/2023,459.02,459.44,451.55,452.49,-3.02,-0.66%,92194300
7/26/2023,454.47,456.99,453.38,455.51,0.07,0.02%,71052800
7/25/2023,453.92,456.735,453.87,455.44,1.24,0.27%,55191200
7/24/2023,453.37,455.04,452.298,454.2,2.02,0.45%,54023300
7/21/2023,453.96,454.165,452.17,452.18,0,0.00%,71275600
7/20/2023,454.17,455.1,451.44,452.18,-3.02,-0.66%,70591600
7/19/2023,455.01,456.43,454.1119,455.2,1.01,0.22%,65891600
7/18/2023,450.5,454.86,450.0484,454.19,3.35,0.74%,80744400
7/17/2023,449.13,451.93,449.08,450.84,1.56,0.35%,52680200
7/14/2023,450.48,451.36,448.49,449.28,-0.28,-0.06%,69815800
7/13/2023,447.9,450.38,447.45,449.56,3.54,0.79%,72425200
7/12/2023,446.39,447.4799,444.91,446.02,3.56,0.80%,91924500
7/11/2023,440.45,442.97,439.44,442.46,2.8,0.64%,64463700
7/10/2023,438.18,439.84,437.585,439.66,1.11,0.25%,62443500
7/7/2023,438.63,442.64,438.3,438.55,-1.11,-0.25%,86134100
7/6/2023,439.42,440.1,437.06,439.66,-3.47,-0.78%,80658300
7/5/2023,441.91,443.889,441.9,443.13,-0.66,-0.15%,58418400
7/3/2023,442.92,444.08,442.63,443.79,0.51,0.12%,32793300
6/30/2023,441.44,444.3,441.11,443.28,5.17,1.18%,104964000
6/29/2023,435.96,438.28,435.54,438.11,1.72,0.39%,67882300
6/28/2023,435.05,437.44,434.41,436.39,0.22,0.05%,75635900
6/27/2023,432.35,436.81,431.88,436.17,4.73,1.10%,72813700
6/26/2023,432.62,434.61,431.19,431.44,-1.77,-0.41%,72823500
6/23/2023,432.93,435.06,432.47,433.21,-3.3,-0.76%,92074500
6/22/2023,433.95,436.62,433.6,436.51,1.57,0.36%,70637100
6/21/2023,436.16,436.99,434.33,434.94,-2.24,-0.51%,76982200
6/20/2023,437.45,438.37,435.03,437.18,-2.28,-0.52%,76160300
6/16/2023,443.02,443.6078,438.97,439.46,-3.14,-0.71%,114165800
6/15/2023,436.33,443.9,436.23,442.6,5.42,1.24%,110303100
6/14/2023,437.01,439.0612,433.59,437.18,0.52,0.12%,100612000
6/13/2023,435.32,437.33,434.63,436.66,2.86,0.66%,95899700
6/12/2023,430.92,433.88,430.17,433.8,3.9,0.91%,76256700
6/9/2023,429.96,431.99,428.87,429.9,0.77,0.18%,85647200
6/8/2023,426.62,429.6,425.82,429.13,2.58,0.60%,61952800
6/7/2023,428.44,429.62,426.11,426.55,-1.48,-0.35%,85373200
6/6/2023,426.67,428.5772,425.99,428.03,0.93,0.22%,64022100
6/5/2023,428.28,429.62,426.37,427.1,-0.82,-0.19%,65460100
6/2/2023,424.5,428.74,423.95,427.92,6.1,1.45%,91426100
6/1/2023,418.09,422.92,416.79,421.82,3.97,0.95%,88865000
5/31/2023,418.28,419.22,416.22,417.85,-2.33,-0.55%,110811700
5/30/2023,422.03,422.58,418.735,420.18,0.16,0.04%,72215900
5/26/2023,415.33,420.77,415.25,420.02,5.37,1.30%,93829900
5/25/2023,414.74,416.16,412.4101,414.65,3.56,0.87%,90961600
5/24/2023,412.42,412.82,409.8795,411.09,-3,-0.72%,89213600
5/23/2023,417.08,418.722,413.68,414.09,-4.7,-1.12%,86383400
5/22/2023,418.64,420.39,417.35,418.79,0.17,0.04%,60745400
5/19/2023,420.17,420.72,417.35,418.62,-0.61,-0.15%,103793300
5/18/2023,414.9,419.67,414.67,419.23,4,0.96%,97177200
5/17/2023,412.35,415.855,410.635,415.23,4.98,1.21%,87286900
5/16/2023,411.86,412.815,410.24,410.25,-2.76,-0.67%,57705400
5/15/2023,412.22,413.43,410.23,413.01,1.42,0.35%,54289300
5/12/2023,413.42,413.64,409.07,411.59,-0.54,-0.13%,70481500
5/11/2023,411.95,412.43,409.97,412.13,-0.72,-0.17%,70157000
5/10/2023,413.88,414.535,408.87,412.85,1.92,0.47%,96142900
5/9/2023,411.13,412.09,410.6894,410.93,-1.81,-0.44%,49220100
5/8/2023,412.97,413.24,411.28,412.74,0.11,0.03%,50046700
5/5/2023,408.91,413.72,408.64,412.63,7.5,1.85%,87891700
5/4/2023,406.93,407.27,403.74,405.13,-2.89,-0.71%,94901800
5/3/2023,411.36,413.87,407.77,408.02,-2.82,-0.69%,91531700
5/2/2023,414.77,414.82,407.82,410.84,-4.67,-1.12%,103998400
5/1/2023,415.47,417.62,415.265,415.51,-0.42,-0.10%,62122200
4/28/2023,411.49,415.94,411.43,415.93,3.52,0.85%,89433100
4/27/2023,407,412.69,406.74,412.41,8.05,1.99%,92968300
4/26/2023,406.72,407.84,403.78,404.36,-1.72,-0.42%,80447000
4/25/2023,410.58,411.16,406.02,406.08,-6.55,-1.59%,97766700
4/24/2023,411.99,413.07,410.6,412.63,0.43,0.10%,64332000
4/21/2023,412.19,412.68,410.17,412.2,0.32,0.08%,73457400
4/20/2023,411.21,413.7,410.27,411.88,-2.26,-0.55%,75840300
4/19/2023,412.22,415.08,412.16,414.14,-0.07,-0.02%,55227300
4/18/2023,415.58,415.72,412.7802,414.21,0.27,0.07%,63559900
4/17/2023,412.37,413.96,411.085,413.94,1.48,0.36%,66436400
4/14/2023,412.81,415.09,410.06,412.46,-1.01,-0.24%,78161500
4/13/2023,409.18,413.84,407.9922,413.47,5.42,1.33%,85814700
4/12/2023,411.87,412.17,407.44,408.05,-1.67,-0.41%,86420300
4/11/2023,410.26,411.18,408.92,409.72,0.11,0.03%,59297900
4/10/2023,406.61,409.69,405.97,409.61,0.42,0.10%,63681000
4/6/2023,406.77,409.48,405.678,409.19,1.59,0.39%,63743300
4/5/2023,407.91,408.7,405.88,407.6,-1.07,-0.26%,65200200
4/4/2023,411.62,411.92,407.24,408.67,-2.28,-0.55%,66601500
4/3/2023,408.85,411.37,408.44,410.95,1.56,0.38%,67391100
3/31/2023,404.66,409.7,404.55,409.39,5.69,1.41%,112062600
3/30/2023,404.09,404.35,401.76,403.7,2.35,0.59%,69840000
3/29/2023,399.92,401.6,398.68,401.35,5.75,1.45%,77497800
3/28/2023,395.77,396.49,393.69,395.6,-0.89,-0.22%,62871600
3/27/2023,398.12,398.92,395.56,396.49,0.74,0.19%,74010400
3/24/2023,391.84,395.84,389.4,395.75,2.58,0.66%,107770100
3/23/2023,395.09,399.29,390.35,393.17,1.06,0.27%,119351300
3/22/2023,398.73,402.49,392.07,392.11,-6.8,-1.70%,111746500
3/21/2023,397.24,399.41,395.58,398.91,5.17,1.31%,91524200
3/20/2023,390.8,394.17,390.07,393.74,3.75,0.96%,93055700
3/17/2023,393.22,394.4,388.55,389.99,-6.12,-1.55%,140553400
3/16/2023,386.82,396.47,386.29,396.11,6.83,1.75%,143753900
3/15/2023,385.89,389.49,383.71,389.28,-2.45,-0.63%,172996900
3/14/2023,390.5,393.45,387.05,391.73,6.37,1.65%,149752300
3/13/2023,381.81,390.39,380.65,385.36,-0.55,-0.14%,157789900
3/10/2023,390.99,393.16,384.32,385.91,-5.65,-1.44%,189418908
3/9/2023,399.74,401.48,390.53,391.56,-7.36,-1.84%,111945300
3/8/2023,398.39,399.71,396.59,398.92,0.65,0.16%,74746600
3/7/2023,404.42,404.67,397.625,398.27,-6.2,-1.53%,108310600
3/6/2023,405.05,407.45,404.01,404.47,0.28,0.07%,72795900
3/3/2023,399.71,404.45,399.03,404.19,6.38,1.60%,90119900
3/2/2023,392.68,398.69,392.33,397.81,3.07,0.78%,85404700
3/1/2023,395.41,396.69,393.38,394.74,-1.52,-0.38%,99706800
2/28/2023,397.23,399.28,396.15,396.26,-1.47,-0.37%,96438500
2/27/2023,399.87,401.29,396.75,397.73,1.35,0.34%,80444700
2/24/2023,395.42,397.25,393.64,396.38,-4.28,-1.07%,108194400
2/23/2023,401.56,402.2,396.25,400.66,2.12,0.53%,96242400
2/22/2023,399.52,401.13,397.02,398.54,-0.55,-0.14%,83742200
2/21/2023,403.06,404.16,398.82,399.09,-8.17,-2.01%,82655900
2/17/2023,406.06,407.51,404.05,407.26,-1.02,-0.25%,89257800
2/16/2023,408.79,412.91,408.14,408.28,-5.7,-1.38%,76431400
2/15/2023,410.35,414.06,409.47,413.98,1.34,0.32%,61685200
2/14/2023,411.24,415.05,408.511,412.64,-0.19,-0.05%,88389300
2/13/2023,408.72,412.97,408.24,412.83,4.79,1.17%,64913500
2/10/2023,405.86,408.44,405.01,408.04,0.95,0.23%,70769700
2/9/2023,414.41,414.57,405.81,407.09,-3.56,-0.87%,78694800
2/8/2023,413.13,414.53,409.93,410.65,-4.54,-1.09%,76227400
2/7/2023,408.87,416.49,407.57,415.19,5.36,1.31%,90990700
2/6/2023,409.79,411.29,408.1,409.83,-2.52,-0.61%,60295300
2/3/2023,411.59,416.97,411.09,412.35,-4.43,-1.06%,94736700
2/2/2023,414.86,418.31,412.88,416.78,5.98,1.46%,101654400
