"id","attachment","total_limit","total_premium","layer_number","price_per_million","rate_relativity","industry_vertical","region","sic_code"
53,1e+08,25000000,38224,5,1528.96,0.67059649122807,"M&A/General Industries","SE","2434"
53,1.25e+08,25000000,34475,6,1379,0.901920259522813,"M&A/General Industries","SE","2434"
56,0,5000000,811533,0,162306.6,NA,"Public Sector & Education","NE","4785"
56,5e+06,5000000,484700,1,96940,0.597264683013507,"Public Sector & Education","NE","4785"
56,1e+07,10000000,833250,2,83325,0.859552300391995,"Public Sector & Education","NE","4785"
56,2e+07,10000000,450000,3,45000,0.54005400540054,"Public Sector & Education","NE","4785"
56,3e+07,20000000,495000,4,24750,0.55,"Public Sector & Education","NE","4785"
56,5e+07,20000000,422100,5,21105,0.852727272727273,"Public Sector & Education","NE","4785"
56,7e+07,20000000,360000,6,18000,0.852878464818763,"Public Sector & Education","NE","4785"
56,9e+07,10000000,160000,7,16000,0.888888888888889,"Public Sector & Education","NE","4785"
57,0,10000000,2177260,0,217726,NA,"M&A/General Industries","NE","2873"
57,1e+07,25000000,1853200,1,74128,0.340464620670016,"M&A/General Industries","NE","2873"
57,3.5e+07,15000000,416000,2,27733.3333333333,0.374127635081661,"M&A/General Industries","NE","2873"
57,5e+07,15000000,355725,3,23715,0.855108173076923,"M&A/General Industries","NE","2873"
57,6.5e+07,20000000,370900,4,18545,0.781994518237403,"M&A/General Industries","NE","2873"
57,8.5e+07,15000000,222792,5,14852.8,0.800905904556484,"M&A/General Industries","NE","2873"
57,1e+08,25000000,350000,6,14000,0.942583216632554,"M&A/General Industries","NE","2873"
58,0,15000000,190476,0,12698.4,NA,"Public Sector & Education","NE","8661"
58,1.5e+07,10000000,97710,1,9771,0.769467019467019,"Public Sector & Education","NE","8661"
59,0,10000000,3750000,0,375000,NA,"REHL: Real Estate","NE","7349"
59,1e+07,10000000,2523267,1,252326.7,0.6728712,"REHL: Real Estate","NE","7349"
59,2e+07,15000000,1760000,2,117333.333333333,0.46500561903807,"REHL: Real Estate","NE","7349"
59,3.5e+07,10000000,990000,3,99000,0.84375,"REHL: Real Estate","NE","7349"
59,4.5e+07,10000000,728000,4,72800,0.735353535353535,"REHL: Real Estate","NE","7349"
59,5.5e+07,25000000,1747875,5,69915,0.960370879120879,"REHL: Real Estate","NE","7349"
59,8e+07,25000000,1625525,6,65021,0.930000715154116,"REHL: Real Estate","NE","7349"
59,1.05e+08,15000000,536430,7,35762,0.550006920840959,"REHL: Real Estate","NE","7349"
59,1.2e+08,50000000,1001350,8,20027,0.560007829539735,"REHL: Real Estate","NE","7349"
59,1.7e+08,5000000,92500,9,18500,0.923752933539721,"REHL: Real Estate","NE","7349"
61,0,15000000,514750,0,34316.6666666667,NA,"Health & Life Sciences: Life Sciences","NE","2819"
