client_id,carrier_number,layer_number,limit,attachment,share,rate_rel,lead_ratio,per_mil,premium,layers_in_tower,entries_in_tower,sic_industry,carrier_name,is_train1,is_train2,is_train3
56,1,6,20000000.0,70000000.0,1,0.853,0.11090122028309385,18000.0,360000.0,8,8,"Transportation, Communications, Electric, Gas and Sanitary service","None",1,1,1
56,1,7,10000000.0,90000000.0,1,0.889,0.09857886247386119,16000.0,160000.0,8,8,"Transportation, Communications, Electric, Gas and Sanitary service","AXA XL Group",1,1,1
57,1,0,10000000.0,0,1,,1.0,217726.0,2177260.0,7,7,Manufacturing,"Zurich Group",0,1,0
57,1,1,25000000.0,10000000.0,1,0.34,0.3404646206700164,74128.0,1853200.0,7,7,Manufacturing,"None",0,1,0
57,1,2,15000000.0,35000000.0,1,0.374,0.1273772233602479,27733.333,416000.0,7,7,Manufacturing,"Great American P&C Group",0,1,0
57,1,3,15000000.0,50000000.0,1,0.855,0.10892130475919275,23715.0,355725.0,7,7,Manufacturing,"None",0,1,0
57,1,4,20000000.0,65000000.0,1,0.782,0.08517586324095423,18545.0,370900.0,7,7,Manufacturing,"None",0,1,0
57,1,5,15000000.0,85000000.0,1,0.801,0.06821785179537583,14852.8,222792.0,7,7,Manufacturing,"Navigators (The Hartford)",0,1,0
57,1,6,25000000.0,100000000.0,1,0.943,0.06430100217704822,14000.0,350000.0,7,7,Manufacturing,"None",0,1,0
58,1,0,15000000.0,0,1,,1.0,12698.4,190476.0,2,2,Services,"Chubb Group",1,1,1
58,1,1,10000000.0,15000000.0,1,0.769,0.7694670194670195,9771.0,97710.0,2,2,Services,"None",1,1,1
59,1,0,10000000.0,0,1,,1.0,375000.0,3750000.0,10,10,Services,"Chubb Group",1,0,1
59,1,1,10000000.0,10000000.0,1,0.673,0.6728712,252326.7,2523267.0,10,10,Services,"AIG Group",1,0,1
59,1,2,15000000.0,20000000.0,1,0.465,0.3128888888888889,117333.333,1760000.0,10,10,Services,"Zurich Group",1,0,1
59,1,3,10000000.0,35000000.0,1,0.844,0.264,99000.0,990000.0,10,10,Services,"Everest Re Group",1,0,1
59,1,4,10000000.0,45000000.0,1,0.735,0.19413333333333332,72800.0,728000.0,10,10,Services,"Starr",1,0,1
59,1,5,25000000.0,55000000.0,1,0.96,0.18644,69915.0,1747875.0,10,10,Services,"None",1,0,1
59,1,6,25000000.0,80000000.0,1,0.93,0.17338933333333334,65021.0,1625525.0,10,10,Services,"AXA XL Group",1,0,1
59,1,7,15000000.0,105000000.0,1,0.55,0.09536533333333333,35762.0,536430.0,10,10,Services,"Helix",1,0,1
59,1,8,50000000.0,120000000.0,1,0.56,0.05340533333333333,20027.0,1001350.0,10,10,Services,"None",1,0,1
59,1,9,5000000.0,170000000.0,1,0.924,0.04933333333333333,18500.0,92500.0,10,10,Services,"Helix",1,0,1
60,1,0,10000000.0,0,1,,1.0,15000.0,150000.0,1,1,"Finance, Insurance and Real estate","AIG Group",1,0,1
61,1,0,15000000.0,0,1,,1.0,34316.667,514750.0,6,6,Manufacturing,"Chubb Group",1,0,1
61,1,1,10000000.0,15000000.0,1,0.656,0.6556580864497329,22500.0,225000.0,6,6,Manufacturing,"Hartford Group",1,0,1
61,1,2,25000000.0,25000000.0,1,0.409,0.268161243322001,9202.4,230060.0,6,6,Manufacturing,"None",1,0,1
61,1,3,10000000.0,50000000.0,1,0.815,0.2185526954832443,7500.0,75000.0,6,6,Manufacturing,"AIG Group",1,0,1
61,1,4,15000000.0,60000000.0,1,0.787,0.17204662457503644,5904.067,88561.0,6,6,Manufacturing,"AXA XL Group",1,0,1
