"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
37,"XS",5,1,7.5e+07,12500000,87500000,53453,4276,0.5,7.5e+07,2.5e+07,1e+08,105928,0.63449,NA
37,"XS",5,2,7.5e+07,12500000,87500000,52475,4198,0.5,7.5e+07,2.5e+07,1e+08,105928,0.63449,NA
46,"UM",0,1,2e+06,1e+07,1.2e+07,296067,29607,1,2e+06,1e+07,1.2e+07,296067,NA,5651
46,"XS",1,1,1e+07,7500000,17500000,63750,8500,0.5,1e+07,1.5e+07,2.5e+07,127500,0.2871,5651
46,"XS",1,2,1e+07,7500000,17500000,63750,8500,0.5,1e+07,1.5e+07,2.5e+07,127500,0.2871,5651
46,"XS",2,1,2.5e+07,12500000,37500000,66750,5340,0.5,2.5e+07,2.5e+07,5e+07,133500,0.62824,5651
46,"XS",2,2,2.5e+07,12500000,37500000,66750,5340,0.5,2.5e+07,2.5e+07,5e+07,133500,0.62824,5651
46,"XS",3,1,5e+07,2.5e+07,7.5e+07,82000,3280,0.5,5e+07,5e+07,1e+08,164000,0.61423,5651
46,"XS",3,2,5e+07,2.5e+07,7.5e+07,82000,3280,0.5,5e+07,5e+07,1e+08,164000,0.61423,5651
46,"XS",4,1,1e+08,12500000,112500000,26900,2152,0.5,1e+08,2.5e+07,1.25e+08,53800,0.6561,5651
46,"XS",4,2,1e+08,12500000,112500000,26900,2152,0.5,1e+08,2.5e+07,1.25e+08,53800,0.6561,5651
47,"UM",0,1,2e+06,3e+06,5e+06,643887,214629,1,2e+06,3e+06,5e+06,643887,NA,7011
47,"XS",1,1,3e+06,7e+06,1e+07,980000,140000,1,3e+06,7e+06,1e+07,980000,0.65229,7011
47,"XS",2,1,1e+07,1e+07,2e+07,550500,55050,1,1e+07,1e+07,2e+07,550500,0.39321,7011
47,"XS",3,1,2e+07,1e+07,3e+07,231472,23147,1,2e+07,1e+07,3e+07,231472,0.42048,7011
47,"XS",4,1,3e+07,2e+07,5e+07,290000,14500,1,3e+07,2e+07,5e+07,290000,0.62643,7011
47,"XS",5,1,5e+07,5e+06,5.5e+07,60018,12004,0.333,5e+07,1.5e+07,6.5e+07,180054,0.82783,7011
47,"XS",5,2,5e+07,1e+07,6e+07,120036,12004,0.667,5e+07,1.5e+07,6.5e+07,180054,0.82783,7011
47,"XS",6,1,6.5e+07,1e+07,7.5e+07,87402,8740,1,6.5e+07,1e+07,7.5e+07,87402,0.72813,7011
47,"XS",7,1,7.5e+07,1e+07,8.5e+07,83333,8333,0.4,7.5e+07,2.5e+07,1e+08,208328,0.95342,7011
47,"XS",7,2,7.5e+07,1.5e+07,9e+07,124995,8333,0.6,7.5e+07,2.5e+07,1e+08,208328,0.95342,7011
48,"UM",0,1,1e+07,1e+07,2e+07,669000,66900,1,1e+07,1e+07,2e+07,669000,NA,4841
48,"XS",1,1,3.5e+07,12500000,47500000,235200,18816,0.5,3.5e+07,2.5e+07,6e+07,470400,0.28126,4841
